prfInformationCarrier,prfYear,prfPrdOilNetMillSm3,prfPrdGasNetBillSm3,prfPrdNGLNetMillSm3,prfPrdCondensateNetMillSm3,prfPrdOeNetMillSm3,prfPrdProducedWaterInFieldMillSm3,prfNpdidInformationCarrier
33/9-6 DELTA,2009,0.010,0.000,0.000,0.000,0.010,0.011,44576
33/9-6 DELTA,2010,0.021,0.000,0.000,0.000,0.021,0.038,44576
33/9-6 DELTA,2011,0.019,0.000,0.000,0.000,0.019,0.007,44576
33/9-6 DELTA,2012,0.013,0.000,0.000,0.000,0.013,0.004,44576
33/9-6 DELTA,2013,0.000,0.000,0.000,0.000,0.000,0.000,44576
ALBUSKJELL,1979,0.531,0.652,0.060,0.000,1.243,0.000,43437
ALBUSKJELL,1980,1.442,1.779,0.208,0.000,3.428,0.000,43437
ALBUSKJELL,1981,1.426,2.249,0.268,0.000,3.943,0.000,43437
ALBUSKJELL,1982,0.953,1.998,0.251,0.000,3.202,0.000,43437
ALBUSKJELL,1983,0.697,1.655,0.253,0.000,2.605,0.000,43437
ALBUSKJELL,1984,0.462,1.183,0.169,0.000,1.814,0.000,43437
ALBUSKJELL,1985,0.357,1.026,0.157,0.000,1.540,0.000,43437
ALBUSKJELL,1986,0.285,0.946,0.129,0.000,1.360,0.000,43437
ALBUSKJELL,1987,0.216,0.778,0.106,0.000,1.100,0.000,43437
ALBUSKJELL,1988,0.176,0.613,0.096,0.000,0.884,0.000,43437
ALBUSKJELL,1989,0.142,0.456,0.067,0.000,0.665,0.000,43437
ALBUSKJELL,1990,0.109,0.339,0.046,0.000,0.493,0.000,43437
ALBUSKJELL,1991,0.091,0.271,0.031,0.000,0.393,0.000,43437
ALBUSKJELL,1992,0.087,0.266,0.027,0.000,0.380,0.000,43437
ALBUSKJELL,1993,0.096,0.309,0.033,0.000,0.437,0.000,43437
ALBUSKJELL,1994,0.081,0.264,0.028,0.000,0.373,0.000,43437
ALBUSKJELL,1995,0.074,0.236,0.024,0.000,0.335,0.000,43437
ALBUSKJELL,1996,0.054,0.218,0.021,0.000,0.293,0.000,43437
ALBUSKJELL,1997,0.046,0.192,0.020,0.000,0.258,0.000,43437
ALBUSKJELL,1998,0.030,0.106,0.012,0.000,0.147,0.000,43437
ALVE,2009,0.259,0.900,0.313,0.000,1.472,0.003,4444332
ALVE,2010,0.244,0.839,0.289,0.000,1.372,0.000,4444332
ALVE,2011,0.318,0.747,0.270,0.000,1.335,0.002,4444332
ALVE,2012,0.243,0.505,0.186,0.000,0.935,0.000,4444332
ALVE,2013,0.024,0.047,0.017,0.000,0.088,0.000,4444332
ALVHEIM,2008,2.300,0.146,0.000,0.000,2.446,0.001,2845712
ALVHEIM,2009,4.973,0.445,0.000,0.000,5.419,0.377,2845712
ALVHEIM,2010,4.570,0.437,0.000,0.000,5.007,0.340,2845712
ALVHEIM,2011,3.856,0.458,0.000,0.000,4.314,0.935,2845712
ALVHEIM,2012,4.013,0.619,0.000,0.000,4.632,2.111,2845712
ALVHEIM,2013,0.615,0.103,0.000,0.000,0.718,0.274,2845712
ATLA,2012,0.038,0.046,0.000,0.000,0.085,0.000,21106284
ATLA,2013,0.012,0.000,0.000,0.000,0.012,0.000,21106284
BALDER,1991,0.129,0.000,0.000,0.000,0.129,0.000,43562
BALDER,1999,0.881,0.000,0.000,0.000,0.881,0.000,43562
BALDER,2000,4.018,0.000,0.000,0.000,4.018,1.212,43562
BALDER,2001,3.888,0.000,0.000,0.000,3.888,1.579,43562
BALDER,2002,3.436,0.000,0.000,0.000,3.436,2.371,43562
BALDER,2003,3.949,0.032,0.000,0.000,3.981,2.163,43562
BALDER,2004,6.046,0.194,0.000,0.000,6.240,2.627,43562
BALDER,2005,6.984,0.254,0.000,0.000,7.239,2.792,43562
BALDER,2006,6.352,0.215,0.000,0.000,6.567,3.113,43562
BALDER,2007,5.624,0.189,0.000,0.000,5.813,3.437,43562
BALDER,2008,4.409,0.140,0.000,0.000,4.549,3.967,43562
BALDER,2009,3.313,0.108,0.000,0.000,3.421,4.617,43562
BALDER,2010,2.726,0.091,0.000,0.000,2.818,5.213,43562
BALDER,2011,2.270,0.061,0.000,0.000,2.332,5.261,43562
BALDER,2012,1.857,0.046,0.000,0.000,1.903,4.738,43562
BALDER,2013,0.297,0.008,0.000,0.000,0.304,0.847,43562
BLANE,2007,0.049,0.000,0.002,0.000,0.051,0.000,3437650
BLANE,2008,0.139,0.000,0.006,0.000,0.145,0.000,3437650
BLANE,2009,0.116,0.000,0.005,0.000,0.120,0.000,3437650
BLANE,2010,0.094,0.000,0.003,0.000,0.097,0.000,3437650
BLANE,2011,0.101,0.000,0.004,0.000,0.104,0.003,3437650
BLANE,2012,0.054,0.000,0.002,0.000,0.056,0.008,3437650
BLANE,2013,0.012,0.000,0.001,0.000,0.013,0.002,3437650
BRAGE,1993,1.044,0.025,0.031,0.000,1.100,0.000,43651
BRAGE,1994,5.352,0.192,0.174,0.000,5.718,0.000,43651
BRAGE,1995,6.252,0.223,0.152,0.000,6.627,0.000,43651
BRAGE,1996,6.398,0.341,0.209,0.000,6.947,0.000,43651
BRAGE,1997,5.869,0.230,0.146,0.000,6.245,0.000,43651
BRAGE,1998,5.541,0.281,0.195,0.000,6.017,0.000,43651
BRAGE,1999,3.798,0.158,0.111,0.000,4.067,0.000,43651
BRAGE,2000,2.633,0.149,0.115,0.000,2.897,5.023,43651
BRAGE,2001,2.229,0.167,0.158,0.000,2.554,6.186,43651
BRAGE,2002,2.143,0.115,0.109,0.000,2.366,5.733,43651
BRAGE,2003,1.878,0.098,0.081,0.000,2.058,6.974,43651
BRAGE,2004,1.581,0.089,0.068,0.000,1.738,8.402,43651
BRAGE,2005,1.481,0.124,0.086,0.000,1.691,8.796,43651
BRAGE,2006,1.113,0.133,0.084,0.000,1.330,8.941,43651
BRAGE,2007,1.195,0.174,0.107,0.000,1.476,8.835,43651
BRAGE,2008,1.597,0.259,0.170,0.000,2.026,8.158,43651
BRAGE,2009,1.676,0.130,0.096,0.000,1.902,7.401,43651
BRAGE,2010,1.546,0.126,0.087,0.000,1.759,7.951,43651
BRAGE,2011,1.133,0.130,0.088,0.000,1.350,8.295,43651
BRAGE,2012,0.788,0.111,0.073,0.000,0.972,8.466,43651
BRAGE,2013,0.113,0.021,0.014,0.000,0.148,1.501,43651
COD,1977,0.002,0.004,0.000,0.000,0.006,0.000,43785
COD,1978,0.068,0.138,0.000,0.000,0.205,0.000,43785
COD,1979,0.285,0.482,0.035,0.000,0.802,0.000,43785
COD,1980,0.465,0.843,0.107,0.000,1.415,0.000,43785
COD,1981,0.342,0.691,0.089,0.000,1.122,0.000,43785
COD,1982,0.322,0.758,0.105,0.000,1.185,0.000,43785
COD,1983,0.283,0.730,0.125,0.000,1.139,0.000,43785
COD,1984,0.191,0.529,0.087,0.000,0.807,0.000,43785
COD,1985,0.153,0.455,0.083,0.000,0.691,0.000,43785
COD,1986,0.126,0.405,0.068,0.000,0.599,0.000,43785
COD,1987,0.081,0.281,0.049,0.000,0.411,0.000,43785
COD,1988,0.100,0.354,0.068,0.000,0.521,0.000,43785
COD,1989,0.071,0.255,0.046,0.000,0.372,0.000,43785
COD,1990,0.057,0.194,0.035,0.000,0.287,0.000,43785
COD,1991,0.051,0.173,0.025,0.000,0.250,0.000,43785
COD,1992,0.049,0.171,0.023,0.000,0.243,0.000,43785
COD,1993,0.046,0.157,0.021,0.000,0.224,0.000,43785
COD,1994,0.046,0.155,0.021,0.000,0.223,0.000,43785
COD,1995,0.047,0.164,0.022,0.000,0.233,0.000,43785
COD,1996,0.042,0.148,0.019,0.000,0.209,0.000,43785
COD,1997,0.033,0.117,0.017,0.000,0.167,0.000,43785
COD,1998,0.018,0.075,0.011,0.000,0.104,0.000,43785
DRAUGEN,1993,0.123,0.000,0.000,0.000,0.123,0.000,43758
DRAUGEN,1994,3.887,0.000,0.000,0.000,3.887,0.000,43758
DRAUGEN,1995,6.971,0.000,0.000,0.000,6.971,0.000,43758
DRAUGEN,1996,8.444,0.000,0.000,0.000,8.444,0.000,43758
DRAUGEN,1997,10.452,0.000,0.000,0.000,10.452,0.000,43758
DRAUGEN,1998,11.194,0.000,0.000,0.000,11.194,0.000,43758
DRAUGEN,1999,12.139,0.000,0.000,0.000,12.139,0.000,43758
DRAUGEN,2000,11.744,0.020,0.034,0.000,11.799,0.238,43758
DRAUGEN,2001,11.859,0.274,0.734,0.000,12.866,0.249,43758
DRAUGEN,2002,11.067,0.239,0.642,0.000,11.948,0.828,43758
DRAUGEN,2003,7.434,0.166,0.495,0.000,8.095,2.151,43758
DRAUGEN,2004,7.807,0.197,0.556,0.000,8.561,4.758,43758
DRAUGEN,2005,6.018,0.162,0.448,0.000,6.629,5.967,43758
DRAUGEN,2006,4.549,0.119,0.333,0.000,5.002,5.461,43758
DRAUGEN,2007,4.124,0.099,0.282,0.000,4.504,6.476,43758
DRAUGEN,2008,4.040,0.092,0.273,0.000,4.405,6.897,43758
DRAUGEN,2009,3.398,0.075,0.237,0.000,3.711,8.018,43758
DRAUGEN,2010,2.409,0.046,0.150,0.000,2.605,7.527,43758
DRAUGEN,2011,2.173,0.042,0.142,0.000,2.357,8.311,43758
DRAUGEN,2012,2.024,0.038,0.132,0.000,2.194,9.564,43758
DRAUGEN,2013,0.293,0.005,0.018,0.000,0.315,1.620,43758
EDDA,1979,0.049,0.010,0.002,0.000,0.061,0.000,43541
EDDA,1980,1.260,0.420,0.085,0.000,1.765,0.000,43541
EDDA,1981,0.718,0.409,0.071,0.000,1.198,0.000,43541
EDDA,1982,0.424,0.297,0.055,0.000,0.775,0.000,43541
EDDA,1983,0.291,0.201,0.045,0.000,0.536,0.000,43541
EDDA,1984,0.232,0.133,0.029,0.000,0.394,0.000,43541
EDDA,1985,0.192,0.090,0.023,0.000,0.305,0.000,43541
EDDA,1986,0.139,0.052,0.013,0.000,0.204,0.000,43541
EDDA,1987,0.050,0.015,0.004,0.000,0.069,0.000,43541
EDDA,1988,0.079,0.018,0.006,0.000,0.104,0.000,43541
EDDA,1989,0.171,0.044,0.014,0.000,0.230,0.000,43541
EDDA,1990,0.179,0.049,0.015,0.000,0.243,0.000,43541
EDDA,1991,0.144,0.037,0.010,0.000,0.191,0.000,43541
EDDA,1992,0.169,0.042,0.010,0.000,0.221,0.000,43541
EDDA,1993,0.136,0.033,0.008,0.000,0.177,0.000,43541
EDDA,1994,0.137,0.031,0.007,0.000,0.176,0.000,43541
EDDA,1995,0.146,0.031,0.007,0.000,0.184,0.000,43541
EDDA,1996,0.138,0.031,0.006,0.000,0.176,0.000,43541
EDDA,1997,0.104,0.020,0.005,0.000,0.129,0.000,43541
EDDA,1998,0.060,0.013,0.003,0.000,0.075,0.000,43541
EKOFISK,1971,0.357,0.000,0.000,0.000,0.357,0.000,43506
EKOFISK,1972,1.927,0.000,0.000,0.000,1.927,0.000,43506
EKOFISK,1973,1.870,0.000,0.000,0.000,1.870,0.000,43506
EKOFISK,1974,2.014,0.000,0.000,0.000,2.014,0.000,43506
EKOFISK,1975,10.995,0.000,0.000,0.000,10.995,0.000,43506
EKOFISK,1976,16.227,0.000,0.000,0.000,16.227,0.000,43506
EKOFISK,1977,15.888,1.441,0.000,0.000,17.330,0.000,43506
EKOFISK,1978,15.522,4.931,0.000,0.000,20.453,0.000,43506
EKOFISK,1979,12.978,5.759,0.577,0.000,19.314,0.000,43506
EKOFISK,1980,10.999,6.455,1.118,0.000,18.572,0.000,43506
EKOFISK,1981,8.986,6.497,1.042,0.000,16.525,0.000,43506
EKOFISK,1982,8.127,6.343,1.093,0.000,15.564,0.000,43506
EKOFISK,1983,8.109,5.923,1.277,0.000,15.309,0.000,43506
EKOFISK,1984,7.419,6.595,1.200,0.000,15.214,0.000,43506
EKOFISK,1985,6.234,5.811,1.193,0.000,13.238,0.000,43506
EKOFISK,1986,4.697,2.653,0.917,0.000,8.267,0.000,43506
EKOFISK,1987,3.997,3.879,0.738,0.000,8.613,0.000,43506
EKOFISK,1988,5.363,3.776,1.093,0.000,10.231,0.000,43506
EKOFISK,1989,6.638,5.042,1.146,0.000,12.827,0.000,43506
EKOFISK,1990,7.495,5.218,1.082,0.000,13.796,0.000,43506
EKOFISK,1991,8.601,4.839,1.058,0.000,14.498,0.000,43506
EKOFISK,1992,8.996,5.864,0.965,0.000,15.825,0.000,43506
EKOFISK,1993,8.767,4.669,0.857,0.000,14.293,0.000,43506
EKOFISK,1994,10.101,4.748,0.845,0.000,15.694,0.000,43506
EKOFISK,1995,12.827,5.176,0.919,0.000,18.923,0.000,43506
EKOFISK,1996,13.446,5.243,0.895,0.000,19.584,0.000,43506
EKOFISK,1997,14.272,4.993,0.819,0.000,20.084,0.000,43506
EKOFISK,1998,14.534,3.624,0.626,0.000,18.784,0.000,43506
EKOFISK,1999,14.274,2.785,0.484,0.000,17.543,0.000,43506
EKOFISK,2000,16.669,3.015,0.549,0.000,20.232,3.823,43506
EKOFISK,2001,16.565,2.878,0.523,0.000,19.965,4.549,43506
EKOFISK,2002,17.233,2.743,0.605,0.000,20.581,5.545,43506
EKOFISK,2003,17.173,2.689,0.623,0.000,20.484,6.204,43506
EKOFISK,2004,16.521,2.579,0.622,0.000,19.722,6.802,43506
EKOFISK,2005,15.818,2.531,0.613,0.000,18.962,7.559,43506
EKOFISK,2006,15.790,2.638,0.635,0.000,19.063,8.163,43506
EKOFISK,2007,13.183,2.286,0.524,0.000,15.992,8.227,43506
EKOFISK,2008,12.189,2.156,0.528,0.000,14.873,8.997,43506
EKOFISK,2009,11.247,1.903,0.456,0.000,13.606,10.627,43506
EKOFISK,2010,9.388,1.589,0.371,0.000,11.348,11.200,43506
EKOFISK,2011,8.411,1.297,0.293,0.000,10.002,12.315,43506
EKOFISK,2012,7.575,1.103,0.271,0.000,8.948,14.139,43506
EKOFISK,2013,1.117,0.158,0.040,0.000,1.315,2.097,43506
ELDFISK,1979,1.712,0.413,0.073,0.000,2.197,0.000,43527
ELDFISK,1980,5.875,1.496,0.295,0.000,7.666,0.000,43527
ELDFISK,1981,4.933,1.511,0.281,0.000,6.725,0.000,43527
ELDFISK,1982,4.115,1.385,0.279,0.000,5.778,0.000,43527
ELDFISK,1983,3.715,1.440,0.329,0.000,5.483,0.000,43527
ELDFISK,1984,3.380,1.389,0.296,0.000,5.065,0.000,43527
ELDFISK,1985,3.378,1.394,0.330,0.000,5.102,0.000,43527
ELDFISK,1986,3.358,1.443,0.306,0.000,5.107,0.000,43527
ELDFISK,1987,3.145,1.359,0.294,0.000,4.798,0.000,43527
ELDFISK,1988,3.822,2.247,0.511,0.000,6.579,0.000,43527
ELDFISK,1989,4.205,1.567,0.559,0.000,6.331,0.000,43527
ELDFISK,1990,3.681,1.310,0.481,0.000,5.472,0.000,43527
ELDFISK,1991,2.980,1.982,0.329,0.000,5.291,0.000,43527
ELDFISK,1992,2.785,1.842,0.271,0.000,4.897,0.000,43527
ELDFISK,1993,2.451,1.712,0.251,0.000,4.413,0.000,43527
ELDFISK,1994,2.230,1.549,0.229,0.000,4.008,0.000,43527
ELDFISK,1995,2.692,1.995,0.292,0.000,4.979,0.000,43527
ELDFISK,1996,2.334,1.670,0.243,0.000,4.247,0.000,43527
ELDFISK,1997,2.353,1.703,0.260,0.000,4.316,0.000,43527
ELDFISK,1998,1.517,1.068,0.169,0.000,2.754,0.000,43527
ELDFISK,1999,1.164,0.557,0.101,0.000,1.822,0.000,43527
ELDFISK,2000,1.273,0.664,0.117,0.000,2.054,0.148,43527
ELDFISK,2001,1.996,0.749,0.145,0.000,2.891,0.221,43527
ELDFISK,2002,2.392,0.926,0.163,0.000,3.482,0.504,43527
ELDFISK,2003,2.419,0.742,0.142,0.000,3.302,0.744,43527
ELDFISK,2004,3.163,0.885,0.185,0.000,4.233,0.884,43527
ELDFISK,2005,3.511,0.860,0.178,0.000,4.549,1.046,43527
ELDFISK,2006,3.012,0.694,0.152,0.000,3.858,0.986,43527
ELDFISK,2007,2.644,0.534,0.121,0.000,3.299,0.930,43527
ELDFISK,2008,3.022,0.562,0.136,0.000,3.721,1.096,43527
ELDFISK,2009,2.858,0.485,0.117,0.000,3.460,0.950,43527
ELDFISK,2010,2.874,0.505,0.115,0.000,3.494,1.027,43527
ELDFISK,2011,2.894,0.476,0.108,0.000,3.478,1.155,43527
ELDFISK,2012,2.645,0.283,0.089,0.000,3.017,1.344,43527
ELDFISK,2013,0.386,0.043,0.014,0.000,0.442,0.231,43527
EMBLA,1993,0.688,0.210,0.046,0.000,0.944,0.000,43534
EMBLA,1994,1.416,0.428,0.096,0.000,1.940,0.000,43534
EMBLA,1995,1.273,0.389,0.086,0.000,1.748,0.000,43534
EMBLA,1996,0.999,0.355,0.072,0.000,1.426,0.000,43534
EMBLA,1997,0.736,0.296,0.062,0.000,1.094,0.000,43534
EMBLA,1998,0.485,0.186,0.039,0.000,0.710,0.000,43534
EMBLA,1999,0.701,0.251,0.062,0.000,1.014,0.000,43534
EMBLA,2000,0.637,0.225,0.061,0.000,0.923,0.005,43534
EMBLA,2001,0.495,0.082,0.043,0.000,0.620,0.008,43534
EMBLA,2002,0.387,0.079,0.036,0.000,0.502,0.009,43534
EMBLA,2003,0.403,0.109,0.034,0.000,0.546,0.009,43534
EMBLA,2004,0.400,0.159,0.040,0.000,0.599,0.007,43534
EMBLA,2005,0.282,0.135,0.030,0.000,0.447,0.003,43534
EMBLA,2006,0.330,0.159,0.039,0.000,0.527,0.008,43534
EMBLA,2007,0.197,0.110,0.025,0.000,0.333,0.009,43534
EMBLA,2008,0.219,0.144,0.031,0.000,0.395,0.011,43534
EMBLA,2009,0.224,0.145,0.032,0.000,0.401,0.006,43534
EMBLA,2010,0.172,0.155,0.032,0.000,0.359,0.014,43534
EMBLA,2011,0.148,0.117,0.023,0.000,0.288,0.018,43534
EMBLA,2012,0.121,0.092,0.019,0.000,0.231,0.013,43534
EMBLA,2013,0.027,0.019,0.004,0.000,0.050,0.002,43534
ENOCH,2007,0.056,0.000,0.000,0.000,0.056,0.001,3437659
ENOCH,2008,0.068,0.000,0.000,0.000,0.068,0.002,3437659
ENOCH,2009,0.072,0.000,0.000,0.000,0.072,0.001,3437659
ENOCH,2010,0.047,0.000,0.000,0.000,0.047,0.000,3437659
ENOCH,2011,0.029,0.000,0.000,0.000,0.029,0.000,3437659
ENOCH,2012,0.002,0.000,0.000,0.000,0.002,0.000,3437659
FRAM,2003,0.694,0.000,0.000,0.000,0.694,0.003,1578840
FRAM,2004,2.938,0.000,0.000,0.000,2.938,0.059,1578840
FRAM,2005,1.861,0.000,0.000,0.000,1.861,0.078,1578840
FRAM,2006,1.663,0.000,0.000,0.000,1.663,0.066,1578840
FRAM,2007,2.641,0.068,0.004,0.000,2.712,0.196,1578840
FRAM,2008,3.278,0.288,0.027,0.000,3.593,0.119,1578840
FRAM,2009,3.381,0.423,0.068,0.000,3.872,0.295,1578840
FRAM,2010,3.091,0.569,0.076,0.000,3.737,0.403,1578840
FRAM,2011,2.802,0.576,0.077,0.000,3.454,0.597,1578840
FRAM,2012,2.442,0.535,0.084,0.000,3.061,0.816,1578840
FRAM,2013,0.436,0.106,0.014,0.000,0.555,0.094,1578840
FRIGG,1977,0.000,0.953,0.000,0.002,0.955,0.000,43555
FRIGG,1978,0.000,4.445,0.000,0.021,4.466,0.000,43555
FRIGG,1979,0.000,8.283,0.000,0.044,8.327,0.000,43555
FRIGG,1980,0.000,9.927,0.000,0.048,9.975,0.000,43555
FRIGG,1981,0.000,10.928,0.000,0.048,10.976,0.000,43555
FRIGG,1982,0.000,10.165,0.000,0.043,10.209,0.000,43555
FRIGG,1983,0.000,10.719,0.000,0.041,10.760,0.000,43555
FRIGG,1984,0.000,10.080,0.000,0.034,10.114,0.000,43555
FRIGG,1985,0.000,8.584,0.000,0.034,8.618,0.000,43555
FRIGG,1986,0.000,8.198,0.000,0.034,8.232,0.000,43555
FRIGG,1987,0.000,7.760,0.000,0.029,7.789,0.000,43555
FRIGG,1988,0.000,6.967,0.000,0.024,6.990,0.000,43555
FRIGG,1989,0.000,5.160,0.000,0.014,5.174,0.000,43555
FRIGG,1990,0.000,2.329,0.000,0.007,2.336,0.000,43555
FRIGG,1991,0.000,1.503,0.000,0.006,1.510,0.000,43555
FRIGG,1992,0.000,1.643,0.000,0.012,1.656,0.000,43555
FRIGG,1993,0.000,1.354,0.000,0.006,1.361,0.000,43555
FRIGG,1994,0.000,1.054,0.000,0.003,1.057,0.000,43555
FRIGG,1995,0.000,0.664,0.000,0.001,0.665,0.000,43555
FRIGG,1996,0.000,0.410,0.000,0.000,0.411,0.000,43555
FRIGG,1997,0.000,0.480,0.000,0.000,0.480,0.000,43555
FRIGG,1998,0.000,0.601,0.000,0.001,0.601,0.000,43555
FRIGG,1999,0.000,0.332,0.000,0.000,0.333,0.000,43555
FRIGG,2000,0.000,0.603,0.000,0.001,0.603,0.000,43555
FRIGG,2001,0.000,0.737,0.000,0.002,0.740,0.000,43555
FRIGG,2002,0.000,0.717,0.000,0.001,0.718,0.000,43555
FRIGG,2003,0.000,0.708,0.000,0.001,0.709,0.000,43555
FRIGG,2004,0.000,0.863,0.000,0.001,0.864,0.000,43555
FRØY,1995,0.871,0.154,0.000,0.005,1.030,0.000,43597
FRØY,1996,1.778,0.345,0.000,0.023,2.147,0.000,43597
FRØY,1997,1.396,0.289,0.000,0.017,1.702,0.000,43597
FRØY,1998,0.716,0.169,0.000,0.017,0.901,0.000,43597
FRØY,1999,0.493,0.249,0.000,0.027,0.770,0.000,43597
FRØY,2000,0.263,0.358,0.000,0.016,0.637,0.056,43597
FRØY,2001,0.036,0.042,0.000,0.001,0.078,0.002,43597
GAUPE,2012,0.111,0.161,0.013,0.007,0.293,0.004,18161341
GAUPE,2013,0.014,0.044,0.003,0.002,0.062,0.003,18161341
GIMLE,2005,0.300,0.062,0.021,0.000,0.383,0.009,4005142
GIMLE,2006,0.256,0.012,0.004,0.000,0.272,0.001,4005142
GIMLE,2007,0.550,0.000,0.000,0.000,0.550,0.021,4005142
GIMLE,2008,0.611,0.000,0.000,0.000,0.611,0.561,4005142
GIMLE,2009,0.333,0.000,0.000,0.000,0.333,0.795,4005142
GIMLE,2010,0.227,0.000,0.000,0.000,0.227,1.003,4005142
GIMLE,2011,0.200,0.000,0.000,0.000,0.200,1.192,4005142
GIMLE,2012,0.144,0.331,0.133,0.000,0.608,1.322,4005142
GIMLE,2013,0.023,0.056,0.022,0.000,0.101,0.249,4005142
GJØA,2010,0.241,0.213,0.000,0.000,0.454,0.008,4467574
GJØA,2011,2.149,1.768,0.846,0.071,4.834,0.088,4467574
GJØA,2012,2.763,2.934,1.748,0.172,7.617,0.112,4467574
GJØA,2013,0.358,0.607,0.352,0.032,1.349,0.022,4467574
GLITNE,2001,0.746,0.000,0.000,0.000,0.746,0.005,1272071
GLITNE,2002,2.157,0.000,0.000,0.000,2.157,0.416,1272071
GLITNE,2003,1.686,0.000,0.000,0.000,1.686,1.071,1272071
GLITNE,2004,0.969,0.000,0.000,0.000,0.969,1.291,1272071
GLITNE,2005,0.827,0.000,0.000,0.000,0.827,2.003,1272071
GLITNE,2006,0.582,0.000,0.000,0.000,0.582,2.373,1272071
GLITNE,2007,0.469,0.000,0.000,0.000,0.469,2.628,1272071
GLITNE,2008,0.509,0.000,0.000,0.000,0.509,2.766,1272071
GLITNE,2009,0.372,0.000,0.000,0.000,0.372,2.887,1272071
GLITNE,2010,0.259,0.000,0.000,0.000,0.259,2.473,1272071
