wlbName,wlbDstTestNumber,wlbDstFromDepth,wlbDstToDepth,wlbDstChokeSize,wlbDstFinShutInPress,wlbDstFinFlowPress,wlbDstBottomHolePress,wlbDstOilProd,wlbDstGasProd,wlbDstOilDensity,wlbDstGasDensity,wlbDstGasOilRelation,wlbNpdidWellbore,wlbDstDateUpdated,dateSyncNPD
2/4-8,5.0,3091,3158,6.3,0.000,0.000,0.000,654,1316502,0.821,0.000,2013,252,9999-12-31,2013-05-08
2/4-8,6.0,3014,3042,11.1,0.000,0.000,0.000,360,519480,0.820,0.000,1443,252,9999-12-31,2013-05-08
2/4-8,7.0,2996,3002,0.0,0.000,0.000,0.000,71,133906,0.000,0.000,1886,252,9999-12-31,2013-05-08
2/4-9,1.0,3360,3369,38.0,0.000,0.000,0.000,121,97700,0.802,0.000,801,253,9999-12-31,2013-05-08
2/4-9,2.0,3308,3369,9.1,0.000,0.000,0.000,461,455900,0.802,0.000,977,253,9999-12-31,2013-05-08
2/4-9,3.0,3274,3283,0.0,0.000,0.000,0.000,0,0,0.000,0.000,0,253,9999-12-31,2013-05-08
2/4-9,4.0,3222,3224,0.0,0.000,0.000,0.000,0,0,0.000,0.000,0,253,9999-12-31,2013-05-08
2/5-1,1.0,3042,3101,0.0,0.000,0.000,46.000,209,223212,0.000,0.000,1068,178,9999-12-31,2013-05-08
2/5-1,2.0,3274,3277,0.0,0.000,0.000,0.000,0,0,0.000,0.000,0,178,9999-12-31,2013-05-08
2/5-1,4.0,3244,3248,0.0,0.000,0.000,0.000,425,612000,0.000,0.000,1440,178,9999-12-31,2013-05-08
2/5-1,5.0,3285,3234,0.0,0.000,0.000,0.000,145,0,0.000,0.000,0,178,9999-12-31,2013-05-08
2/5-1,6.0,3225,3234,0.0,0.000,0.000,0.000,445,0,0.000,0.000,0,178,9999-12-31,2013-05-08
2/5-1,7.0,3154,3191,0.0,48.000,0.000,48.000,159,203838,0.000,0.000,1282,178,9999-12-31,2013-05-08
2/5-1,8.0,3043,3056,0.0,0.000,0.000,0.000,230,65000,0.000,0.000,0,178,9999-12-31,2013-05-08
2/5-11,1.0,3381,3363,19.0,46.240,0.000,0.000,4,0,0.829,0.000,0,3084,9999-12-31,2013-05-08
2/5-11,2.0,3329,3289,18.1,47.200,0.000,0.000,12,0,0.800,0.000,120,3084,9999-12-31,2013-05-08
2/5-2,1.0,3511,3514,0.0,0.000,0.000,0.000,0,0,0.000,0.000,0,188,9999-12-31,2013-05-08
2/5-2,2.0,3350,3361,0.0,0.000,0.000,0.000,165,39643,0.000,0.000,0,188,9999-12-31,2013-05-08
2/5-2,3.0,3300,3315,0.0,0.000,0.000,0.000,377,96276,0.000,0.000,0,188,9999-12-31,2013-05-08
2/5-2,4.0,3166,3183,0.0,0.000,0.000,0.000,362,0,0.000,0.000,0,188,9999-12-31,2013-05-08
2/5-2,5.0,3166,3183,0.0,0.000,0.000,0.000,0,0,0.000,0.000,0,188,9999-12-31,2013-05-08
2/5-2,6.0,3150,3188,0.0,0.000,0.000,0.000,0,0,0.000,0.000,0,188,9999-12-31,2013-05-08
2/5-3,1.0,3386,3395,0.0,0.000,0.000,0.000,0,0,0.000,0.000,0,258,9999-12-31,2013-05-08
2/5-3,2.0,3121,3191,15.9,0.000,0.000,0.000,682,340400,0.844,0.000,464,258,9999-12-31,2013-05-08
2/5-3,3.0,3053,3065,12.5,0.000,0.000,0.000,682,141330,0.830,0.000,179,258,9999-12-31,2013-05-08
2/5-4,1.0,3137,3170,12.0,0.000,0.000,0.000,556,30500,0.800,0.000,53,259,9999-12-31,2013-05-08
2/5-4,2.0,3070,3081,0.0,0.000,0.000,0.000,0,0,0.000,0.000,0,259,9999-12-31,2013-05-08
2/5-4,3.0,3051,3065,0.0,0.000,0.000,0.000,0,0,0.000,0.000,0,259,9999-12-31,2013-05-08
2/5-5,1.0,3425,3434,0.0,0.000,0.000,0.000,0,0,0.000,0.000,0,260,9999-12-31,2013-05-08
2/5-5,3.0,3297,3313,25.4,0.000,0.000,0.000,72,12430,0.829,0.000,171,260,9999-12-31,2013-05-08
2/5-7,1.0,3300,3335,7.9,5.000,0.000,35.000,120,46350,0.820,0.830,27,25,9999-12-31,2013-05-08
2/5-7,2.0,3263,3287,14.3,14.000,0.000,29.000,121,32670,0.820,0.960,48,25,9999-12-31,2013-05-08
2/5-7,3.0,3210,3225,0.0,0.000,0.000,32.000,8,0,0.000,0.000,0,25,9999-12-31,2013-05-08
2/6-5,1.0,2955,2919,11.1,44.000,30.000,0.000,8,0,0.831,0.000,0,2885,9999-12-31,2013-05-08
2/7-10,1.0,3313,3322,0.0,0.000,0.000,0.000,0,0,0.000,0.000,0,269,9999-12-31,2013-05-08
2/7-10,3.0,3289,3301,0.0,0.000,0.000,0.000,0,0,0.000,0.000,0,269,9999-12-31,2013-05-08
2/7-10,5.0,3245,3261,0.0,0.000,0.000,0.000,0,0,0.000,0.000,0,269,9999-12-31,2013-05-08
2/7-10,6.0,3219,3237,0.0,0.000,0.000,0.000,0,0,0.000,0.000,0,269,9999-12-31,2013-05-08
2/7-10,7.0,3203,3210,0.0,0.000,0.000,0.000,0,0,0.000,0.000,0,269,9999-12-31,2013-05-08
2/7-12,1.0,417,426,25.4,0.000,0.000,0.000,0,0,0.000,0.000,0,271,9999-12-31,2013-05-08
2/7-13,1.0,3188,3205,38.1,0.000,0.000,0.000,0,0,0.000,0.000,0,272,9999-12-31,2013-05-08
2/7-13,2.0,3042,3084,38.1,0.000,0.000,0.000,0,0,0.000,0.000,0,272,9999-12-31,2013-05-08
2/7-13,3.0,2794,2807,38.1,0.000,0.000,0.000,0,0,0.000,0.000,0,272,9999-12-31,2013-05-08
2/7-13,4.0,2697,2729,38.1,0.000,0.000,0.000,0,0,0.000,0.000,0,272,9999-12-31,2013-05-08
2/7-14,1.0,3321,3324,25.4,0.000,0.000,0.000,0,0,0.000,0.000,0,116,9999-12-31,2013-05-08
2/7-14,2.0,3236,3254,0.0,0.000,14.000,0.000,227,31000,0.874,0.820,139,116,9999-12-31,2013-05-08
2/7-14,3.0,3200,3210,0.0,0.000,0.000,0.000,0,59000,0.000,0.000,0,116,9999-12-31,2013-05-08
2/7-14,4.0,3164,3186,0.0,0.000,0.000,0.000,553,86000,0.852,0.682,239,116,9999-12-31,2013-05-08
2/7-14,5.0,3125,3143,0.0,0.000,0.000,0.000,76,14000,0.861,0.697,190,116,9999-12-31,2013-05-08
2/7-15,1.0,3425,3462,25.4,66.000,30.000,0.000,0,0,0.000,0.000,0,225,9999-12-31,2013-05-08
2/7-15,2.0,3006,3010,14.3,46.000,30.000,0.000,7,0,0.000,0.000,0,225,9999-12-31,2013-05-08
2/7-15,3.0,2988,3010,13.4,44.000,30.000,0.000,13,0,0.000,0.000,0,225,9999-12-31,2013-05-08
2/7-16,1.0,3254,3263,0.0,0.000,0.000,0.000,0,0,0.000,0.000,0,232,9999-12-31,2013-05-08
2/7-16,2.0,3168,3190,0.0,0.000,0.000,0.000,0,0,0.000,0.000,0,232,9999-12-31,2013-05-08
2/7-19 R,1.0,4711,4838,12.0,0.000,2.700,0.000,35,15631,0.000,0.000,449,1512,2012-07-21,2013-05-08
2/7-2,1.0,3006,3018,0.0,0.000,0.000,0.000,0,0,0.000,0.000,0,187,9999-12-31,2013-05-08
2/7-20,1.0,4099,4258,9.5,0.000,0.000,0.000,566,223000,0.000,0.000,365,1062,2012-10-16,2013-05-08
2/7-21 S,1.0,4575,4610,7.9,0.000,0.000,0.000,107,27000,0.800,0.790,267,1394,2012-07-21,2013-05-08
2/7-21 S,2.1,4446,4519,11.9,0.000,0.000,0.000,879,272000,0.810,0.790,312,1394,2012-07-21,2013-05-08
2/7-21 S,2.2,4446,4519,9.9,0.000,0.000,0.000,592,211000,0.810,0.790,357,1394,9999-12-31,2013-05-08
2/7-21 S,3.1,4308,4338,11.1,0.000,0.000,0.000,760,249000,0.810,0.810,326,1394,2012-07-21,2013-05-08
2/7-21 S,3.2,4308,4338,19.0,0.000,0.000,0.000,1236,447000,0.800,0.760,362,1394,2012-07-21,2013-05-08
2/7-22,1.0,4484,4491,12.7,0.000,24.000,0.000,197,232700,0.790,0.800,1181,1495,9999-12-31,2013-05-08
2/7-26 S,1.0,4309,4538,6.3,0.000,0.000,0.000,53,10123,0.819,0.000,191,1756,2012-07-21,2013-05-08
2/7-26 S,2.0,4605,4696,6.3,0.000,0.000,0.000,223,61447,0.819,0.810,279,1756,9999-12-31,2013-05-08
2/7-27 S,1.0,4741,4484,7.9,0.000,0.000,0.000,582,180400,0.800,0.800,309,1878,9999-12-31,2013-05-08
2/7-31,1.0,4623,4565,6.3,0.000,0.000,0.000,282,120360,0.000,0.702,426,3573,9999-12-31,2013-05-08
2/7-4,1.0,3266,3292,0.0,0.000,0.000,0.000,0,0,0.000,0.000,0,263,9999-12-31,2013-05-08
2/7-4,2.0,3197,3220,0.0,0.000,0.000,0.000,1054,27183,0.000,0.000,0,263,9999-12-31,2013-05-08
2/7-4,3.0,3149,3170,0.0,0.000,0.000,0.000,200,7079,0.000,0.000,0,263,9999-12-31,2013-05-08
2/7-4,4.0,3127,3145,0.0,0.000,0.000,0.000,0,0,0.000,0.000,0,263,9999-12-31,2013-05-08
2/7-4,5.0,3106,3114,0.0,0.000,0.000,0.000,7,736,0.000,0.000,0,263,9999-12-31,2013-05-08
2/7-4,6.0,3106,3114,0.0,0.000,0.000,0.000,8,1444,0.000,0.000,0,263,9999-12-31,2013-05-08
2/7-5,1.0,3274,3293,0.0,0.000,0.000,0.000,0,0,0.000,0.000,0,264,9999-12-31,2013-05-08
2/7-5,2.0,3225,3237,0.0,0.000,0.000,0.000,0,0,0.000,0.000,0,264,9999-12-31,2013-05-08
2/7-5,3.0,3210,3219,0.0,0.000,0.000,0.000,0,0,0.000,0.000,0,264,9999-12-31,2013-05-08
2/7-5,4.0,3160,3185,0.0,0.000,0.000,0.000,0,0,0.000,0.000,0,264,9999-12-31,2013-05-08
2/7-5,5.0,3120,3230,0.0,0.000,0.000,0.000,0,0,0.000,0.000,0,264,9999-12-31,2013-05-08
2/7-8,1.0,3039,3051,0.0,0.000,0.000,0.000,0,0,0.000,0.000,0,267,9999-12-31,2013-05-08
2/7-8,2.0,3039,3051,0.0,0.000,0.000,0.000,0,0,0.000,0.000,0,267,9999-12-31,2013-05-08
2/7-8,3.0,3014,3033,0.0,40.000,27.000,0.000,13,2406,0.970,0.000,0,267,9999-12-31,2013-05-08
2/7-8,4.0,2969,3001,0.0,40.000,37.000,0.000,539,53789,0.860,0.000,0,267,9999-12-31,2013-05-08
2/7-9,1.0,4313,4356,0.0,38.400,0.000,0.000,36,9996,0.800,0.000,278,268,9999-12-31,2013-05-08
2/7-9,2.0,3417,3436,0.0,0.000,0.000,0.000,0,0,0.000,0.000,0,268,9999-12-31,2013-05-08
2/7-9,3.0,3098,3109,0.0,0.000,0.000,0.000,0,0,0.000,0.000,0,268,9999-12-31,2013-05-08
2/8-10,1.0,2536,2547,3.2,0.000,0.000,0.000,49,6760,0.840,0.674,775,280,9999-12-31,2013-05-08
2/8-10,2.0,2493,2509,9.5,0.000,0.000,0.000,552,78155,0.840,0.653,793,280,9999-12-31,2013-05-08
2/8-10,3.0,2480,2486,15.9,0.000,0.000,0.000,1017,165937,0.840,0.660,910,280,9999-12-31,2013-05-08
2/8-11,1.0,2553,2560,12.5,0.000,0.000,0.000,378,10477,0.830,0.000,1550,1224,9999-12-31,2013-05-08
2/8-11,2.0,2469,2476,19.0,0.000,0.000,0.000,842,21521,0.840,0.000,0,1224,9999-12-31,2013-05-08
2/8-3,1.0,3571,3589,0.0,30.000,25.000,0.000,4,278,0.000,0.000,0,117,9999-12-31,2013-05-08
2/8-3,2.0,3600,3571,0.0,28.000,24.000,0.000,32,2019,0.000,0.000,0,117,9999-12-31,2013-05-08
2/8-3,3.0,2871,2882,0.0,0.000,0.000,0.000,0,0,0.000,0.000,0,117,9999-12-31,2013-05-08
2/8-4,1.0,2603,2622,25.4,0.000,0.000,0.000,0,0,0.000,0.000,0,273,9999-12-31,2013-05-08
2/8-4,2.0,2579,2588,25.4,0.000,0.000,0.000,0,0,0.000,0.000,0,273,9999-12-31,2013-05-08
2/8-6,1.0,2570,2582,25.4,44.900,26.900,0.000,94,19283,0.850,0.000,1152,276,9999-12-31,2013-05-08
2/8-6,2.0,2526,2553,19.0,41.500,11.700,0.000,262,40691,0.840,0.000,872,276,9999-12-31,2013-05-08
2/8-6,3.0,2502,2514,0.0,0.000,0.000,0.000,0,0,0.000,0.000,0,276,9999-12-31,2013-05-08
2/8-6,4.0,2478,2489,12.5,44.600,15.800,0.000,136,30270,0.830,0.000,0,276,9999-12-31,2013-05-08
2/8-6,5.0,2466,2488,0.0,0.000,0.000,0.000,0,0,0.000,0.000,0,276,9999-12-31,2013-05-08
2/8-8,1.0,2585,2595,0.0,0.000,0.000,0.000,0,0,0.000,0.000,0,278,9999-12-31,2013-05-08
2/8-8,2.0,2556,2568,19.0,43.000,32.000,0.000,455,0,0.000,0.000,690,278,9999-12-31,2013-05-08
2/8-8,3.0,2507,2515,0.0,44.600,23.300,0.000,179,0,0.830,0.000,780,278,9999-12-31,2013-05-08
2/8-8,4.0,2488,2493,12.5,0.000,0.000,0.000,745,0,0.000,0.000,1225,278,9999-12-31,2013-05-08
2/8-8,5.0,2460,2465,25.4,44.000,36.000,0.000,1222,0,0.850,0.000,1118,278,9999-12-31,2013-05-08
2/8-9,1.0,2552,2558,0.0,0.000,0.000,0.000,0,0,0.000,0.000,0,279,9999-12-31,2013-05-08
2/8-9,2.0,2525,2529,0.0,45.200,20.400,0.000,353,81693,0.840,0.000,231,279,9999-12-31,2013-05-08
24/6-1,1.0,4502,4537,7.9,0.000,0.000,0.000,75,425000,0.785,0.640,5690,443,9999-12-31,2013-05-08
24/6-2,1.0,2166,2157,19.0,4.800,0.000,18.680,550,44000,0.860,0.690,80,3397,9999-12-31,2013-05-08
24/9-3,1.0,1805,1796,0.0,0.000,0.000,0.000,39,1000,0.916,0.650,26,346,9999-12-31,2013-05-08
24/9-3,2.0,1782,1775,50.8,0.000,0.000,0.000,86,2400,0.925,0.630,28,346,9999-12-31,2013-05-08
24/9-3,3.0,1747,1739,0.0,0.000,0.000,0.000,0,1000,0.000,0.562,0,346,9999-12-31,2013-05-08
25/10-3,1.0,1750,1752,0.0,0.000,0.000,0.000,900,0,0.840,0.000,0,182,9999-12-31,2013-05-08
25/10-5,1.0,1756,1763,12.7,0.000,0.000,0.000,170,10000,0.900,0.640,59,365,9999-12-31,2013-05-08
25/10-5,2.0,1732,1740,25.4,0.000,0.000,0.000,515,30000,0.900,0.640,59,365,9999-12-31,2013-05-08
25/10-8,1.0,2392,2398,15.9,24.000,0.000,25.000,692,0,0.840,0.700,116,2955,2012-07-21,2013-05-08
25/1-1,1.0,1920,1928,0.0,0.000,0.000,0.000,0,674000,0.000,0.000,0,190,9999-12-31,2013-05-08
25/11-14 SR,1.0,1998,2015,13.7,0.000,0.000,0.000,508,2000,0.915,0.670,36,1907,9999-12-31,2013-05-08
25/11-14 SR,2.0,1999,2015,25.4,0.000,0.000,0.000,985,0,0.915,0.000,0,1907,2012-07-21,2013-05-08
25/11-15,1.0,1736,1774,25.4,0.000,0.000,0.000,525,7500,0.940,0.640,14,1872,2012-07-21,2013-05-08
25/11-18,1.0,815,865,0.0,0.000,0.000,0.000,0,1081,0.000,0.630,0,2358,2012-07-21,2013-05-08
25/11-5,1.0,1750,1765,0.0,17.800,0.000,0.000,636,28371,0.910,0.000,44,366,9999-12-31,2013-05-08
25/11-6,1.0,1725,1740,13.9,17.600,0.000,0.000,485,1800000,0.900,0.600,210,367,9999-12-31,2013-05-08
25/11-8,1.0,1752,1767,15.1,0.000,0.000,0.000,418,0,0.900,0.000,46,369,9999-12-31,2013-05-08
25/1-4,1.0,1969,1995,19.0,0.000,0.000,0.000,5,610000,0.000,0.000,0,350,9999-12-31,2013-05-08
25/2-1,1.0,1926,1938,19.0,0.000,19.600,0.000,4,637975,0.000,0.840,157000,353,9999-12-31,2013-05-08
25/2-11,1.0,1958,1953,25.4,15.000,6.000,18.000,0,666000,0.000,0.600,0,1036,9999-12-31,2013-05-08
25/2-12,1.0,3686,3691,0.0,0.000,0.000,0.000,0,0,0.000,0.000,0,1290,9999-12-31,2013-05-08
25/2-12 A,1.0,3805,3795,5.6,0.000,37.000,0.000,102,200000,0.810,0.700,1960,1355,9999-12-31,2013-05-08
25/2-13,1.0,3785,3774,4.7,10.000,10.000,0.000,0,0,0.000,0.000,0,1459,9999-12-31,2013-05-08
25/2-13,2.0,3713,3706,0.0,0.000,0.000,0.000,0,0,0.000,0.000,0,1459,9999-12-31,2013-05-08
25/2-13,2.3,3713,3695,6.3,8.500,0.000,0.000,69,29400,0.823,0.880,425,1459,9999-12-31,2013-05-08
25/2-13,3.1,3460,3437,12.5,16.000,0.000,0.000,210,242000,0.800,0.800,1120,1459,9999-12-31,2013-05-08
25/2-13,5.0,3382,3343,15.8,12.500,0.000,0.000,650,213600,0.829,0.818,330,1459,9999-12-31,2013-05-08
25/2-15 R2,1.0,3909,3580,0.0,50.000,0.000,0.000,0,0,0.000,0.000,0,2116,9999-12-31,2013-05-08
25/2-2,1.0,1983,1996,0.0,0.000,0.000,0.000,0,0,0.000,0.000,0,354,9999-12-31,2013-05-08
25/2-4,1.0,2902,2911,0.0,0.000,0.000,0.000,0,0,0.000,0.000,0,356,9999-12-31,2013-05-08
25/2-5,1.0,3692,3695,0.0,0.000,0.000,0.000,0,0,0.000,0.000,0,357,9999-12-31,2013-05-08
25/2-5,2.0,3652,3695,19.0,0.000,0.000,0.000,330,108000,0.000,0.000,327,357,9999-12-31,2013-05-08
25/2-5,3.0,3337,3362,12.5,0.000,0.000,0.000,470,95400,0.813,0.000,203,357,9999-12-31,2013-05-08
25/4-1,1.0,3300,3314,0.0,0.000,0.000,0.000,0,0,0.000,0.000,0,359,9999-12-31,2013-05-08
25/4-1,2.0,3208,3213,0.0,0.000,0.000,0.000,0,0,0.000,0.000,0,359,9999-12-31,2013-05-08
25/4-1,3.0,3179,3184,25.4,0.000,29.000,0.000,74,180000,0.000,0.797,2432,359,9999-12-31,2013-05-08
25/4-4,1.0,2134,2143,0.0,0.000,0.000,0.000,0,0,0.000,0.000,0,362,9999-12-31,2013-05-08
25/4-5,1.0,4154,4176,0.0,0.000,0.000,0.000,0,0,0.000,0.000,0,201,9999-12-31,2013-05-08
25/4-5,2.0,4065,4088,0.0,0.000,0.000,0.000,0,0,0.000,0.000,0,201,9999-12-31,2013-05-08
25/4-5,3.0,3969,3999,0.0,0.000,0.000,0.000,0,0,0.000,0.000,0,201,9999-12-31,2013-05-08
25/4-6 S,1.0,3802,3819,20.6,0.000,0.000,0.000,688,461700,0.810,0.720,671,1703,2012-07-21,2013-05-08
25/5-1,1.0,3233,3254,12.7,0.000,0.000,0.000,0,0,0.000,0.000,0,884,9999-12-31,2013-05-08
25/5-1,2.0,3045,3025,12.7,0.000,8.000,0.000,396,71000,0.827,0.705,178,884,9999-12-31,2013-05-08
25/5-1,2.1,3045,3025,12.7,30.000,11.000,30.000,437,88000,0.837,0.705,201,884,9999-12-31,2013-05-08
25/5-1,3.0,3002,2987,12.7,0.000,10.000,0.000,339,74000,0.825,0.790,217,884,9999-12-31,2013-05-08
25/5-1,3.1,2987,3002,12.7,0.000,0.000,32.000,442,82000,0.825,0.815,186,884,9999-12-31,2013-05-08
25/5-2,2.0,3196,3201,9.5,0.000,0.000,0.000,200,35000,0.821,0.000,170,1346,9999-12-31,2013-05-08
25/5-3,1.0,2405,2336,11.1,15.000,0.000,23.000,57,585000,0.800,0.750,5100,1488,9999-12-31,2013-05-08
25/5-4,1.0,2933,2923,20.6,14.000,0.000,29.000,223,759600,0.760,0.720,3398,1691,9999-12-31,2013-05-08
25/5-5,1.0,2170,2159,38.1,2.000,1.000,20.000,428,15578,0.880,0.700,36,2661,9999-12-31,2013-05-08
25/6-1,1.0,2277,2280,7.9,9.600,0.000,0.000,298,0,0.725,0.000,130,524,9999-12-31,2013-05-08
25/7-2,1.0,4148,4273,15.9,9.000,0.000,0.000,228,255700,0.781,0.732,1121,1494,9999-12-31,2013-05-08
25/7-3,1.0,2096,2107,25.4,2.000,0.000,17.000,739,29207,0.839,0.000,39,2623,9999-12-31,2013-05-08
25/7-5,1.0,2043,2052,17.5,7.000,5.260,18.981,900,78000,0.870,0.671,88,3132,9999-12-31,2013-05-08
25/8-1,1.0,1755,1762,25.4,0.000,0.000,0.000,429,9965,0.930,0.000,23,173,9999-12-31,2013-05-08
25/8-10 S,1.0,1727,1740,14.4,4.000,4.000,4.000,413,15,0.900,0.680,0,3062,2012-07-21,2013-05-08
25/8-11,1.0,1893,1910,16.0,0.000,0.000,0.000,520,23000,0.000,0.000,44,3209,2012-07-21,2013-05-08
25/8-5 S,1.0,2118,2149,50.0,0.000,29.000,0.000,1073,40774,0.850,0.000,38,2390,9999-12-31,2013-05-08
25/8-8 S,1.0,2258,2267,50.0,3.600,0.000,0.000,1067,75900,0.850,0.730,71,2646,9999-12-31,2013-05-08
29/3-1,1.0,3802,3822,7.9,0.000,0.000,36.000,2,0,0.878,0.690,0,904,9999-12-31,2013-05-08
29/3-1,2.0,3682,3725,12.7,54.000,30.000,50.000,440,534000,0.868,0.680,1212,904,9999-12-31,2013-05-08
29/3-1,2.1,3682,3699,12.7,54.000,21.000,37.000,236,438000,0.845,0.720,1858,904,9999-12-31,2013-05-08
29/3-1,3.0,3522,3530,12.7,48.000,1.000,34.000,0,0,0.000,0.000,0,904,9999-12-31,2013-05-08
29/6-1,1.0,4287,4301,0.0,0.000,0.000,0.000,0,0,0.000,0.000,0,375,9999-12-31,2013-05-08
29/6-1,2.0,4256,4260,0.0,0.000,0.000,0.000,0,0,0.000,0.000,0,375,9999-12-31,2013-05-08
29/6-1,3.0,4208,4218,3.2,0.000,0.000,0.000,220,300000,0.808,0.705,1363,375,9999-12-31,2013-05-08
29/9-1,1.0,4394,4405,12.7,0.000,0.000,0.000,0,10000,0.000,0.774,0,31,9999-12-31,2013-05-08
3/7-4,1.0,3473,3537,19.0,0.000,0.000,0.000,665,884450,0.804,0.720,1330,1467,2012-07-21,2013-05-08
3/7-4,2.0,3440,3473,19.0,0.000,0.000,0.000,611,838292,0.796,0.720,1372,1467,2012-07-21,2013-05-08
30/10-2,1.0,2023,2026,16.5,20.800,20.300,0.000,0,44995,0.000,0.585,0,392,9999-12-31,2013-05-08
30/10-5,1.0,3638,3644,0.0,0.000,0.000,0.000,0,0,0.000,0.000,0,395,9999-12-31,2013-05-08
30/10-6,1.0,5008,5045,0.0,0.000,0.000,0.000,0,0,0.000,0.000,0,1816,9999-12-31,2013-05-08
30/10-6,1.1,5008,5045,3.0,0.000,0.000,0.000,0,0,0.000,0.000,0,1816,9999-12-31,2013-05-08
30/10-6,2.0,4899,4965,0.0,0.000,0.000,0.000,0,0,0.000,0.000,0,1816,9999-12-31,2013-05-08
30/10-6,2.1,4899,4965,0.0,0.000,0.000,0.000,0,0,0.000,0.000,0,1816,9999-12-31,2013-05-08
30/10-6,2.2,4899,5250,0.0,0.000,0.000,0.000,0,0,0.000,0.580,0,1816,9999-12-31,2013-05-08
30/10-6,3.0,4768,4803,0.0,0.000,0.000,0.000,0,0,0.000,0.000,0,1816,9999-12-31,2013-05-08
30/10-6,4.0,4666,4714,3.1,0.000,0.000,0.000,0,90000,0.000,0.620,0,1816,9999-12-31,2013-05-08
30/2-1,1.0,3785,3792,12.7,0.000,0.000,0.000,307,677000,0.804,0.695,2205,72,9999-12-31,2013-05-08
30/2-1,2.0,3761,3771,19.0,0.000,0.000,0.000,417,1030000,0.807,0.695,2470,72,9999-12-31,2013-05-08
30/2-1,3.0,3720,3728,19.0,0.000,0.000,0.000,396,1016000,0.814,0.692,2565,72,9999-12-31,2013-05-08
30/3-2,1.0,2916,2923,0.0,0.000,0.000,0.000,0,0,0.000,0.000,0,203,9999-12-31,2013-05-08
30/3-2,2.0,2870,2874,0.0,0.000,0.000,0.000,0,0,0.000,0.000,0,203,9999-12-31,2013-05-08
30/3-2,3.0,2832,2837,0.0,0.000,0.000,0.000,0,0,0.000,0.000,0,203,9999-12-31,2013-05-08
