wlbName,wlbOilSampleTestType,wlbOilSampleTestNumber,wlbOilSampleTopDepth,wlbOilSampleBottomDepth,wlbOilSampleFluidType,wlbOilSampleTestDate,wlbOilSampledateReceivedDate,wlbNpdidWellbore,wlbOilSampleDateUpdated,dateSyncNPD
33/9-M-2 H,PROD,TEST1,0.00,0.00,OIL,1994-07-27,1994-09-22,2155,9999-12-31,2013-05-08
34/10-1,DST,DST1,1930.00,1935.00,NULL,1978-08-21,1980-01-01,424,2012-12-05,2013-05-08
34/10-1,DST,DST3,1788.00,1792.00,NULL,1978-08-29,1980-01-01,424,2012-12-05,2013-05-08
34/10-11,DST,TEST2,1891.00,1896.00,NULL,1981-02-23,1991-12-05,211,9999-12-31,2013-05-08
34/10-13,DST,TEST2,2003.00,2009.00,NULL,1981-12-23,1991-12-05,431,9999-12-31,2013-05-08
34/10-16,DST,TEST1,3397.00,3407.00,OIL,1983-09-10,1991-12-05,59,9999-12-31,2013-05-08
34/10-16,DST,TEST2,3177.00,3187.00,NULL,1983-09-17,1991-12-05,59,9999-12-31,2013-05-08
34/10-17,DST,TEST2,2880.00,2895.00,NULL,1983-08-07,1991-12-05,5,9999-12-31,2013-05-08
34/10-17,DST,TEST3,2835.00,2845.00,NULL,1983-06-22,1991-12-05,5,9999-12-31,2013-05-08
34/10-17,DST,TEST4,2754.00,2790.00,CONDENSATE,1983-06-28,1991-12-05,5,9999-12-31,2013-05-08
34/10-2,DST,TEST2,3353.00,3365.00,NULL,1979-07-22,1991-11-05,425,2012-12-05,2013-05-08
34/10-2,DST,TEST3,3335.00,3345.00,NULL,1979-07-26,1980-01-01,425,2012-12-05,2013-05-08
34/10-2,DST,TEST3A,3335.00,0.00,NULL,1979-07-28,1991-11-05,425,2012-12-05,2013-05-08
34/10-2,DST,TEST4,3110.00,3115.00,NULL,1979-08-02,1980-01-01,425,2012-12-05,2013-05-08
34/10-2,DST,DST5,3018.00,3028.00,NULL,1979-08-05,1980-01-01,425,2012-12-05,2013-05-08
34/10-21,DST,TEST2,3290.00,3312.00,CONDENSATE,1984-10-13,1991-12-05,221,9999-12-31,2013-05-08
34/10-23,DST,TEST1,4085.00,4095.00,CONDENSATE,1985-09-28,1991-12-05,476,9999-12-31,2013-05-08
34/10-3,DST,DST 2,1940.00,1935.00,NULL,1979-06-01,1980-01-01,426,2012-12-05,2013-05-08
34/10-30,DST,TEST1,3460.00,3473.00,NULL,1986-04-15,1991-12-05,877,9999-12-31,2013-05-08
34/10-30,DST,TEST2,3297.00,3318.00,NULL,1986-04-21,1991-12-05,877,9999-12-31,2013-05-08
34/10-30,DST,TEST3,3125.00,3155.00,NULL,1986-04-30,1991-12-05,877,9999-12-31,2013-05-08
34/10-32 R,DST,TEST2,3368.00,3374.00,OIL,1987-08-02,1991-12-05,1128,9999-12-31,2013-05-08
34/10-33,DST,"TEST1,1   ",3378.00,3394.00,NULL,1988-11-29,1991-12-05,1302,9999-12-31,2013-05-08
34/10-33,DST,TEST2,0.00,0.00,NULL,1988-12-08,1991-12-05,1302,9999-12-31,2013-05-08
34/10-33,DST,"TEST2,1   ",3279.00,3307.00,OIL,1988-12-08,1991-12-05,1302,9999-12-31,2013-05-08
34/10-33 C,DST,DST 1B,0.00,0.00,NULL,1990-04-11,1991-12-05,1384,9999-12-31,2013-05-08
34/10-34,DST,TEST1,2001.00,1994.00,NULL,1991-05-23,1991-12-05,1747,9999-12-31,2013-05-08
34/10-35,DST,TEST1,4015.00,4025.00,NULL,1992-06-01,1992-07-02,1874,2013-03-12,2013-05-08
34/10-35,DST,TEST2,3995.00,3984.00,NULL,1992-06-09,1992-07-02,1874,2013-03-12,2013-05-08
34/10-35,DST,TEST3,3929.00,3920.00,NULL,1992-06-15,1992-07-02,1874,2013-03-12,2013-05-08
34/10-36,DST,TEST1,3371.20,3373.20,NULL,1992-06-28,1992-07-23,1940,9999-12-31,2013-05-08
34/10-38 S,DST,TEST1B,0.00,0.00,NULL,1995-05-23,1995-07-17,2517,9999-12-31,2013-05-08
34/10-4,DST,DST1A,1880.00,1885.00,NULL,1979-10-05,1980-01-01,427,2012-12-06,2013-05-08
34/10-4,DST,DST 2,1824.00,1826.00,NULL,1979-10-12,1980-01-01,427,2012-12-06,2013-05-08
34/10-47 S,DST,NULL,0.00,0.00,OIL,9999-12-31,2011-03-10,4609,9999-12-31,2013-05-08
34/10-6,DST,NULL,3037.50,0.00,NULL,1991-04-06,1991-12-05,429,2012-12-06,2013-05-08
34/10-7,DST,NULL,1833.00,1840.00,NULL,9999-12-31,1980-01-01,222,2012-11-15,2013-05-08
34/10-7,DST,DST 1,1558.00,1865.00,NULL,1980-03-17,1991-12-05,222,2012-11-15,2013-05-08
34/10-7,DST,TEST2,1835.00,1865.00,OIL,1983-07-01,1991-12-05,222,2012-11-15,2013-05-08
34/10-8,DST,DST 1,1845.00,1848.00,NULL,1980-05-17,1980-01-01,230,2012-11-15,2013-05-08
34/10-9,DST,NULL,2078.00,2084.00,NULL,9999-12-31,9999-12-31,140,2012-11-16,2013-05-08
34/10-9,DST,DST 2A,2084.00,2090.00,NULL,1980-06-21,1980-01-01,140,2012-11-16,2013-05-08
34/10-9,DST,DST 3,1906.00,1910.00,NULL,1980-06-24,1980-01-01,140,2012-11-16,2013-05-08
34/10-A-16,DST,NULL,0.00,0.00,NULL,1990-07-31,1991-12-05,1285,9999-12-31,2013-05-08
34/10-A-22,DST,TEST4C,2195.00,0.00,CONDENSATE,1989-03-23,1991-12-05,1379,9999-12-31,2013-05-08
34/10-A-30,DST,NULL,0.00,0.00,NULL,1993-01-28,1993-02-09,1682,9999-12-31,2013-05-08
34/10-A-37,DST,NULL,0.00,0.00,NULL,1995-03-22,1995-04-24,1947,9999-12-31,2013-05-08
34/10-A-37,DST,NULL,0.00,0.00,NULL,1993-01-28,1993-02-09,1947,9999-12-31,2013-05-08
34/10-A-5 H,PROD,PROD 1,1933.00,1886.00,NULL,1987-03-24,1991-12-05,942,9999-12-31,2013-05-08
34/10-B-23,DST,NULL,0.00,0.00,NULL,1993-01-26,1993-02-09,1982,9999-12-31,2013-05-08
34/10-B-5,DST,NULL,0.00,0.00,NULL,9999-12-31,1991-12-05,1124,9999-12-31,2013-05-08
34/10-C-1,DST,NULL,0.00,0.00,NULL,1993-01-24,1993-02-09,1472,9999-12-31,2013-05-08
34/10-C-14,DST,NULL,0.00,0.00,NULL,1993-01-25,1993-02-09,2017,9999-12-31,2013-05-08
34/10-C-2,DST,NULL,0.00,0.00,NULL,1990-07-28,1991-12-05,1491,9999-12-31,2013-05-08
34/10-C-6,DST,RFT,3037.50,0.00,NULL,1991-04-06,1992-04-01,1716,9999-12-31,2013-05-08
34/10-C-7,DST,TEST2,3341.00,3099.00,NULL,1991-10-15,1992-04-01,1045,9999-12-31,2013-05-08
34/11-1,DST,DST1,4114.00,4093.50,CONDENSATE,1994-10-11,1994-10-20,2377,2012-11-16,2013-05-08
34/11-2 S,DST,TEST1B,4260.00,4185.00,CONDENSATE,1996-05-01,1996-08-19,2733,2012-11-16,2013-05-08
34/3-1 S,DST,NULL,0.00,0.00,OIL,9999-12-31,2011-06-17,5811,9999-12-31,2013-05-08
34/3-2 S,DST,NULL,0.00,0.00,WATER,9999-12-31,2011-06-17,6249,9999-12-31,2013-05-08
34/4-10 R,DST,NULL,0.00,3966.50,OIL,2000-04-09,9999-12-31,4051,9999-12-31,2013-05-08
34/4-13 S,DST,NULL,4813.71,4803.00,OIL,2010-12-12,2010-11-19,6442,2013-01-15,2013-05-08
34/4-4,DST,DST2,2572.00,2578.00,NULL,1982-12-31,1991-02-20,41,2012-12-22,2013-05-08
34/4-4,DST,DST4,2429.00,2437.00,OIL,1983-01-22,1991-02-20,41,2012-12-22,2013-05-08
34/4-5,DST,DST2,3462.70,3480.70,NULL,1984-03-30,1991-02-20,37,9999-12-31,2013-05-08
34/4-6,DST,DST1,0.00,0.00,OIL,1986-03-18,1991-02-20,875,9999-12-31,2013-05-08
34/4-7,DST,DST1,2579.00,2596.00,NULL,1987-04-02,1991-02-20,943,9999-12-31,2013-05-08
34/4-7,DST,DST2,2506.00,2566.00,NULL,1987-04-19,1991-02-20,943,9999-12-31,2013-05-08
34/7-1,DST,DST1,2574.00,2581.00,OIL,1984-07-01,1991-02-20,111,9999-12-31,2013-05-08
34/7-1,DST,DST2,2467.00,2455.00,OIL,1984-07-09,1991-02-20,111,9999-12-31,2013-05-08
34/7-1,DST,DST3,2416.00,2409.00,NULL,1984-07-15,1990-02-20,111,9999-12-31,2013-05-08
34/7-10,DST,TEST1,2606.70,2610.70,NULL,1986-10-07,1991-02-20,947,9999-12-31,2013-05-08
34/7-10,DST,TEST2,2583.40,2588.90,OIL,1986-10-11,1991-02-20,947,9999-12-31,2013-05-08
34/7-10,DST,TEST3,2535.00,2544.50,NULL,1986-10-17,1991-02-20,947,9999-12-31,2013-05-08
34/7-10,DST,DST4,2549.00,2551.50,NULL,1986-10-22,1991-02-20,947,9999-12-31,2013-05-08
34/7-12,DST,DST2,2229.00,2235.00,NULL,1987-12-03,1991-02-20,1187,9999-12-31,2013-05-08
34/7-12,DST,DST3,2205.50,2209.50,NULL,1987-12-10,1991-02-20,1187,9999-12-31,2013-05-08
34/7-13,DST,"DST1,1    ",2504.00,2500.00,NULL,1988-04-05,1991-02-20,1233,9999-12-31,2013-05-08
34/7-14,DST,DST1,2207.30,2216.30,OIL,1989-11-19,1991-02-20,1278,9999-12-31,2013-05-08
34/7-14,DST,DST2,2179.70,2185.70,OIL,1989-11-25,1991-02-20,1278,9999-12-31,2013-05-08
34/7-16,DST,DST3,2401.00,2414.00,OIL,1990-10-06,1991-02-20,1550,9999-12-31,2013-05-08
34/7-16 R,DST,DST2,2454.00,2458.00,OIL,1990-09-30,1991-02-20,1677,9999-12-31,2013-05-08
34/7-17 A,DST,DST1,2495.00,2499.00,NULL,9999-12-31,1991-09-09,1536,9999-12-31,2013-05-08
34/7-19,DST,TEST2,2455.30,2468.30,NULL,1991-12-10,1992-03-25,1838,9999-12-31,2013-05-08
34/7-21,DST,TEST1,0.00,0.00,OIL,1992-12-03,1993-02-09,2026,9999-12-31,2013-05-08
34/7-21,DST,TEST2,0.00,0.00,OIL,1992-12-05,1993-02-09,2026,9999-12-31,2013-05-08
34/7-3,DST,DST1,2601.00,2607.50,NULL,1984-12-05,1991-02-20,442,9999-12-31,2013-05-08
34/7-3,DST,DST3B,2440.90,2449.40,OIL,1984-12-25,1991-02-20,442,9999-12-31,2013-05-08
34/7-4,DST,NULL,2563.00,2547.00,NULL,9999-12-31,1991-02-20,455,9999-12-31,2013-05-08
34/7-4,DST,DST1,0.00,0.00,NULL,9999-12-31,1995-08-09,455,9999-12-31,2013-05-08
34/7-5,DST,DST1A,2502.50,2512.50,NULL,1985-03-08,1991-02-20,458,9999-12-31,2013-05-08
34/7-6,DST,DST2,2572.00,2549.00,OIL,1985-05-16,1991-02-20,465,9999-12-31,2013-05-08
34/7-6,DST,"TEST3,2   ",2518.50,2522.50,OIL,1985-05-26,1991-02-20,465,9999-12-31,2013-05-08
34/7-7,DST,DST1,2561.50,2569.50,OIL,1985-11-13,1991-02-20,525,9999-12-31,2013-05-08
34/7-7,DST,"DST1,1    ",0.00,0.00,OIL,1985-11-23,1991-02-20,525,9999-12-31,2013-05-08
34/7-7,DST,TEST2,2611.00,2614.00,OIL,1985-12-08,1991-02-20,525,9999-12-31,2013-05-08
34/7-8,DST,TEST1,2359.00,2374.00,OIL,1986-03-22,1991-02-20,878,9999-12-31,2013-05-08
34/7-8,DST,"TEST1,1   ",2333.00,2348.00,OIL,1986-03-22,1991-02-20,878,9999-12-31,2013-05-08
34/7-8,DST,"TEST1,2   ",2333.00,2348.00,OIL,1986-03-26,1991-02-20,878,9999-12-31,2013-05-08
34/7-8,DST,"TEST2,0   ",2303.00,2308.00,NULL,1986-03-31,1991-02-20,878,9999-12-31,2013-05-08
34/7-8,DST,TEST3,2250.00,2258.00,OIL,1986-04-04,1991-02-20,878,9999-12-31,2013-05-08
34/7-9,DST,DST1B,2524.00,2527.00,OIL,1986-05-24,1991-02-20,889,9999-12-31,2013-05-08
34/8-1,DST,DST1,2880.00,2900.00,NULL,1986-02-18,1995-08-09,854,9999-12-31,2013-05-08
34/8-1,DST,DST2,2811.40,2814.40,OIL,1986-02-24,1991-02-28,854,9999-12-31,2013-05-08
34/8-1,DST,DST3,2726.80,2765.20,CONDENSATE,1986-03-01,1991-02-28,854,9999-12-31,2013-05-08
34/8-10 S,DST,DST1,0.00,0.00,NULL,1993-11-24,1993-12-29,2179,9999-12-31,2013-05-08
34/8-11,DST,DST1,2950.10,2936.10,NULL,1994-01-13,1994-01-20,2180,2012-12-22,2013-05-08
34/8-3,DST,NULL,0.00,0.00,NULL,9999-12-31,1991-10-28,940,2012-12-22,2013-05-08
34/8-3,DST,TEST1,2935.00,2947.00,NULL,1988-08-18,1991-02-28,940,2012-12-22,2013-05-08
34/8-3,DST,DST2,2905.00,2921.00,NULL,1988-08-30,1991-02-28,940,2012-12-22,2013-05-08
34/8-3,DST,DST3,2868.00,2880.00,CONDENSATE,1988-09-08,1991-02-28,940,2012-12-22,2013-05-08
34/8-3 A,DST,NULL,3071.00,3093.00,NULL,1988-10-20,1991-02-28,1338,2012-12-22,2013-05-08
34/8-3 A,DST,DST1B,3071.50,3078.50,NULL,1988-10-23,1991-02-28,1338,2012-12-22,2013-05-08
34/8-4 A,DST,DST1,3322.90,3340.90,OIL,1992-04-09,1992-04-27,1909,9999-12-31,2013-05-08
34/8-4 A,DST,DST2,0.00,0.00,OIL,1992-04-22,1995-08-09,1909,9999-12-31,2013-05-08
34/8-4 A,DST,DST4,0.00,0.00,OIL,1992-05-12,9999-12-31,1909,9999-12-31,2013-05-08
34/8-4 S,DST,TEST1,3062.10,3079.70,NULL,1991-04-13,1991-11-05,1683,9999-12-31,2013-05-08
34/8-4 S,DST,TEST2A,2994.40,3002.20,NULL,1991-04-27,1991-05-28,1683,9999-12-31,2013-05-08
34/8-4 S,DST,TEST2B,2943.20,3002.20,NULL,1991-05-13,1991-05-08,1683,9999-12-31,2013-05-08
34/8-4 S,DST,DST4,0.00,0.00,NULL,1991-06-01,1995-08-09,1683,9999-12-31,2013-05-08
34/8-5,DST,NULL,0.00,0.00,NULL,1991-04-13,1991-05-28,1719,2012-12-22,2013-05-08
34/8-8 R,DST,TEST1,2973.20,2960.20,NULL,1993-02-21,1993-03-15,2080,9999-12-31,2013-05-08
34/8-8 R,DST,TEST2,2950.00,2921.00,NULL,1993-02-26,1993-03-15,2080,9999-12-31,2013-05-08
35/11-13,DST,TEST 1,0.00,0.00,OIL,2005-05-12,9999-12-31,5063,9999-12-31,2013-05-08
35/11-15 S,MDT,NULL,0.00,2941.00,OIL,2007-05-10,2011-03-10,5517,9999-12-31,2013-05-08
35/11-2,DST,DST1,0.00,0.00,NULL,9999-12-31,9999-12-31,893,9999-12-31,2013-05-08
35/11-2,DST,DST2,3524.00,3542.00,NULL,1987-11-03,1991-07-09,893,9999-12-31,2013-05-08
35/11-2,DST,NULL,3524.00,3542.00,NULL,1987-11-09,1991-02-28,893,9999-12-31,2013-05-08
35/11-2,DST,DST2B,0.00,0.00,NULL,1987-11-09,1991-12-05,893,9999-12-31,2013-05-08
35/11-2,DST,DST3,3477.00,3486.50,NULL,1987-11-12,1991-02-28,893,9999-12-31,2013-05-08
35/11-2,DST,DST4,3370.00,3378.00,NULL,1987-11-14,1991-02-28,893,9999-12-31,2013-05-08
35/11-2,DST,DST4,0.00,0.00,NULL,1987-11-14,1991-12-05,893,9999-12-31,2013-05-08
35/11-2,DST,DST4,3427.00,3432.00,NULL,1987-11-14,1991-07-09,893,9999-12-31,2013-05-08
35/11-2,DST,NULL,3374.00,3378.00,NULL,1987-11-19,1991-02-28,893,9999-12-31,2013-05-08
35/11-2,DST,DST 5,3378.00,3374.00,NULL,1987-11-19,1991-12-05,893,9999-12-31,2013-05-08
35/11-2,DST,DST51,3374.00,3378.00,NULL,1987-11-14,1991-07-09,893,9999-12-31,2013-05-08
35/11-4,DST,DST1,2674.50,2682.00,NULL,1991-12-07,1992-03-16,1523,9999-12-31,2013-05-08
35/11-4,DST,DST2,2284.00,2291.00,OIL,1991-12-16,1992-01-10,1523,9999-12-31,2013-05-08
35/11-4,DST,DST 2B,0.00,0.00,OIL,1991-12-16,1992-03-16,1523,9999-12-31,2013-05-08
35/11-4,DST,DST 3,2034.00,2046.00,NULL,1991-12-31,1992-01-10,1523,9999-12-31,2013-05-08
35/11-4,DST,DST3,2034.00,2046.00,NULL,1991-12-31,1992-03-16,1523,9999-12-31,2013-05-08
35/11-4,DST,DST 4B,2000.00,2003.00,NULL,1992-01-16,1992-01-25,1523,9999-12-31,2013-05-08
35/11-4,DST,DST4B,0.00,0.00,OIL,9999-12-31,9999-12-31,1523,9999-12-31,2013-05-08
35/11-4 R,DST,NULL,0.00,0.00,NULL,9999-12-31,9999-12-31,1883,9999-12-31,2013-05-08
35/11-4 R,DST,NULL,0.00,0.00,NULL,9999-12-31,9999-12-31,1883,9999-12-31,2013-05-08
35/11-7,DST,DST1,2476.00,2491.00,NULL,1992-09-12,1992-10-01,1979,9999-12-31,2013-05-08
35/11-7,DST,DST2,2476.00,2499.00,OIL,1992-09-21,1992-10-01,1979,9999-12-31,2013-05-08
35/11-8 S,DST,TEST 1B,2931.00,2910.00,NULL,1996-04-21,1996-05-06,2772,9999-12-31,2013-05-08
35/11-8 S,DST,TEST2,2892.00,2885.00,NULL,1996-04-27,1996-07-05,2772,9999-12-31,2013-05-08
35/3-4,DST,DST2A,3445.00,3471.50,NULL,1981-05-25,1991-02-20,219,9999-12-31,2013-05-08
35/9-1,DST,TEST1,2285.00,2291.80,NULL,1989-07-12,1991-02-28,1375,9999-12-31,2013-05-08
35/9-1,DST,DST1,0.00,0.00,NULL,1989-07-12,1991-12-05,1375,9999-12-31,2013-05-08
35/9-1,DST,NULL,2225.40,2249.40,NULL,9999-12-31,1991-02-28,1375,9999-12-31,2013-05-08
35/9-1,DST,DST2,0.00,0.00,CONDENSATE,1989-07-15,1991-12-05,1375,9999-12-31,2013-05-08
35/9-1,DST,NULL,2100.30,2138.30,NULL,9999-12-31,1991-02-28,1375,9999-12-31,2013-05-08
35/9-1,DST,TEST3,0.00,0.00,CONDENSATE,1989-07-20,1991-12-05,1375,9999-12-31,2013-05-08
35/9-2,DST,TEST-1,2342.00,2330.00,NULL,1991-02-23,1991-05-28,1600,9999-12-31,2013-05-08
35/9-2,DST,TEST-2,2295.50,2310.50,NULL,1991-03-11,1991-05-28,1600,9999-12-31,2013-05-08
35/9-2,DST,TEST-3,2187.20,2211.20,CONDENSATE,1991-03-19,1991-05-28,1600,9999-12-31,2013-05-08
35/9-2,DST,TEST- 4,2130.00,2100.00,CONDENSATE,1991-03-27,1991-05-28,1600,9999-12-31,2013-05-08
36/7-1,DST,DST1,2368.00,2363.00,NULL,1996-05-01,1996-08-19,1794,9999-12-31,2013-05-08
6/3-1,DST,TEST1,3023.00,3015.00,NULL,1985-01-08,1991-10-01,450,9999-12-31,2013-05-08
6/3-1,DST,TEST2,2993.00,2978.00,NULL,1985-01-15,1991-10-01,450,9999-12-31,2013-05-08
6/3-1,DST,TEST3,2921.00,2902.00,NULL,1985-01-21,1991-10-01,450,9999-12-31,2013-05-08
6201/11-1,DST,TEST3,2712.60,2716.70,NULL,1987-10-30,1991-12-05,1134,9999-12-31,2013-05-08
6305/5-1,DST,NULL,0.00,0.00,NULL,9999-12-31,9999-12-31,3144,9999-12-31,2013-05-08
6305/7-1,DST,DST 1,2931.00,2915.00,CONDENSATE,1998-08-23,2000-01-04,3535,9999-12-31,2013-05-08
6305/8-1,MDT,MDT-1,0.00,2942.00,WATER,2000-08-12,2000-10-02,4109,9999-12-31,2013-05-08
6306/10-1,DST,DST2,2716.00,2827.00,NULL,1990-12-11,1991-03-06,1551,9999-12-31,2013-05-08
6405/7-1,DST,NULL,2811.70,2758.00,OIL,2003-10-02,2004-06-15,4749,9999-12-31,2013-05-08
6406/3-2,DST,TEST2,3937.00,3995.00,NULL,1986-11-09,1991-12-05,863,9999-12-31,2013-05-08
6406/3-3,DST,RFT2D,3994.50,0.00,NULL,1986-09-29,1991-12-05,949,9999-12-31,2013-05-08
6406/3-9,MDT,NULL,0.00,4102.15,OIL,2012-03-02,2012-07-19,6594,9999-12-31,2013-05-08
6406/3-9,MDT,NULL,0.00,3457.50,OIL,2012-01-22,2012-07-19,6594,9999-12-31,2013-05-08
6406/3-D-2 H,DST,NULL,0.00,4189.20,OIL,2010-10-21,2011-02-10,6454,9999-12-31,2013-05-08
6406/8-1,DST,DST2C,0.00,0.00,NULL,9999-12-31,9999-12-31,1136,9999-12-31,2013-05-08
6406/8-1,DST,DST2C,4453.50,4413.50,WATER,1988-03-26,1995-08-09,1136,9999-12-31,2013-05-08
6406/9-1,DST,NULL,0.00,0.00,CONDENSATE,2005-04-30,2005-10-11,4927,9999-12-31,2013-05-08
6407/1-2,DST,TEST1,3659.00,3669.00,NULL,1983-05-06,1991-12-05,61,9999-12-31,2013-05-08
6407/1-3,DST,TEST1,3697.50,3702.50,NULL,1983-12-22,1991-12-05,29,9999-12-31,2013-05-08
6407/1-3,DST,TEST2,3665.00,3670.00,NULL,1984-01-04,1991-12-05,29,9999-12-31,2013-05-08
6407/1-4,DST,DST1,0.00,0.00,OIL,1996-08-03,1996-08-19,2796,9999-12-31,2013-05-08
6407/2-2,DST,DST1,2476.00,2484.00,CONDENSATE,1983-06-25,1991-02-20,16,9999-12-31,2013-05-08
6407/2-3,DST,DST1,2518.20,2508.70,NULL,1987-01-06,1991-02-20,935,9999-12-31,2013-05-08
